PRODUCT_CATEGORY_ID,PRODUCT_CATEGORY_CODE,CATEGORY_NAME,CATEGORY_DESCRIPTION,PARENT_CATEGORY_ID,CATEGORY_LEVEL,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,THERMAL,Thermal Systems,Industrial compression components,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,HYDRAULIC,Hydraulic Systems,Fluid power components,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,PNEUMATIC,Pneumatic Systems,Air compression systems,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,BIOROBOT,Bio-Robotics,BioFlow precision automation,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,REAGENT,Reagents & Chemicals,BioFlow life sciences materials,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,PRECISION,Precision Components,BioFlow high-tolerance parts,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,ALLOY,Alloys & Metals,Raw material metals,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,POLYMER,Polymers & Plastics,Engineering plastics,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,ELECTRONIC,Electronic Components,Control systems,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,PACKAGING,Packaging Materials,Shipping and containment,,1,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
