PARTY_ADDRESS_ID,PARTY_ID,ADDRESS_TYPE,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_LINE_3,CITY,STATE_PROVINCE,POSTAL_CODE,COUNTRY,GEOGRAPHY_ID,PRIMARY_ADDRESS_FLAG,LATITUDE,LONGITUDE,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
1,1,PRIMARY,2715 Industrial Blvd,Suite 814,,Barcelona,CT,65392,ES,12,True,41.3851,2.1734,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
2,2,PRIMARY,9991 Industrial Blvd,Suite 370,,Shenzhen,GD,15695,CN,15,True,22.5431,114.0579,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
3,3,PRIMARY,850 Industrial Blvd,Suite 777,,Paris,IDF,39871,FR,10,True,48.8566,2.3522,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
4,4,PRIMARY,5920 Industrial Blvd,Suite 314,,Manchester,ENG,97841,GB,9,True,53.4808,-2.2426,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
5,5,PRIMARY,5413 Industrial Blvd,Suite 963,,Taipei,TPE,17331,TW,21,True,25.033,121.5654,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
6,6,PRIMARY,6582 Industrial Blvd,Suite 758,,Lyon,ARA,70142,FR,10,True,45.764,4.8357,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
7,7,PRIMARY,2366 Industrial Blvd,Suite 621,,Shanghai,SH,74686,CN,15,True,31.2304,121.4737,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
8,8,PRIMARY,9863 Industrial Blvd,Suite 579,,Osaka,OS,79352,JP,16,True,34.6937,135.5023,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
9,9,PRIMARY,7533 Industrial Blvd,Suite 103,,Seoul,SO,44522,KR,17,True,37.5665,126.978,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
10,10,PRIMARY,9913 Industrial Blvd,Suite 431,,Singapore,SG,74042,SG,20,True,1.3521,103.8198,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
11,11,PRIMARY,1233 Industrial Blvd,Suite 878,,Monterrey,NL,79822,MX,6,True,25.6866,-100.3161,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
12,12,PRIMARY,6637 Industrial Blvd,Suite 787,,Lyon,ARA,95180,FR,10,True,45.764,4.8357,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
13,13,PRIMARY,9741 Industrial Blvd,Suite 325,,Taipei,TPE,10942,TW,21,True,25.033,121.5654,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
14,14,PRIMARY,4662 Industrial Blvd,Suite 785,,Singapore,SG,73624,SG,20,True,1.3521,103.8198,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
15,15,PRIMARY,7162 Industrial Blvd,Suite 462,,Sao Paulo,SP,65519,BR,7,True,-23.5505,-46.6333,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
16,16,PRIMARY,8886 Industrial Blvd,Suite 559,,Paris,IDF,28373,FR,10,True,48.8566,2.3522,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
17,17,PRIMARY,8956 Industrial Blvd,Suite 956,,Sao Paulo,SP,11934,BR,7,True,-23.5505,-46.6333,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
18,18,PRIMARY,135 Industrial Blvd,Suite 499,,Manchester,ENG,44760,GB,9,True,53.4808,-2.2426,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
19,19,PRIMARY,5238 Industrial Blvd,Suite 158,,Taipei,TPE,16572,TW,21,True,25.033,121.5654,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
20,20,PRIMARY,2064 Industrial Blvd,Suite 683,,Milan,LO,42271,IT,11,True,45.4642,9.19,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
21,21,PRIMARY,6584 Industrial Blvd,Suite 234,,Milan,LO,98039,IT,11,True,45.4642,9.19,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
22,22,PRIMARY,8388 Industrial Blvd,Suite 371,,Taipei,TPE,27361,TW,21,True,25.033,121.5654,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
23,23,PRIMARY,9186 Industrial Blvd,Suite 406,,Singapore,SG,96951,SG,20,True,1.3521,103.8198,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
24,24,PRIMARY,5717 Industrial Blvd,Suite 308,,Amsterdam,NH,93130,NL,13,True,52.3676,4.9041,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
25,25,PRIMARY,2243 Industrial Blvd,Suite 752,,Chicago,IL,44335,US,4,True,41.8781,-87.6298,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
26,26,PRIMARY,6149 Industrial Blvd,Suite 696,,Taipei,TPE,82420,TW,21,True,25.033,121.5654,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
27,27,PRIMARY,5894 Industrial Blvd,Suite 898,,Milan,LO,83385,IT,11,True,45.4642,9.19,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
28,28,PRIMARY,6845 Industrial Blvd,Suite 921,,Manchester,ENG,97806,GB,9,True,53.4808,-2.2426,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
29,29,PRIMARY,5828 Industrial Blvd,Suite 412,,Lyon,ARA,39831,FR,10,True,45.764,4.8357,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
30,30,PRIMARY,8885 Industrial Blvd,Suite 439,,Singapore,SG,13617,SG,20,True,1.3521,103.8198,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
31,31,PRIMARY,6411 Industrial Blvd,Suite 690,,Seoul,SO,34914,KR,17,True,37.5665,126.978,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
32,32,PRIMARY,5020 Industrial Blvd,Suite 619,,Zurich,ZH,50538,CH,14,True,47.3769,8.5417,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
33,33,PRIMARY,6753 Industrial Blvd,Suite 661,,Manchester,ENG,10053,GB,9,True,53.4808,-2.2426,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
34,34,PRIMARY,2880 Industrial Blvd,Suite 774,,Singapore,SG,21114,SG,20,True,1.3521,103.8198,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
35,35,PRIMARY,857 Industrial Blvd,Suite 350,,Munich,BY,72277,DE,8,True,48.1351,11.582,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
36,36,PRIMARY,7065 Industrial Blvd,Suite 324,,New York,NY,33053,US,4,True,40.7128,-74.006,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
37,37,PRIMARY,7351 Industrial Blvd,Suite 727,,Taipei,TPE,76162,TW,21,True,25.033,121.5654,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
38,38,PRIMARY,4019 Industrial Blvd,Suite 381,,Singapore,SG,67654,SG,20,True,1.3521,103.8198,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
39,39,PRIMARY,3888 Industrial Blvd,Suite 492,,Munich,BY,30028,DE,8,True,48.1351,11.582,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
40,40,PRIMARY,6481 Industrial Blvd,Suite 888,,Lyon,ARA,86556,FR,10,True,45.764,4.8357,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
41,41,PRIMARY,8099 Industrial Blvd,Suite 324,,Seoul,SO,45774,KR,17,True,37.5665,126.978,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
42,42,PRIMARY,8851 Industrial Blvd,Suite 127,,Mumbai,MH,61645,IN,18,True,19.076,72.8777,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
43,43,PRIMARY,7549 Industrial Blvd,Suite 434,,Zurich,ZH,54236,CH,14,True,47.3769,8.5417,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
44,44,PRIMARY,3773 Industrial Blvd,Suite 765,,Vancouver,BC,18993,CA,5,True,49.2827,-123.1207,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
45,45,PRIMARY,9340 Industrial Blvd,Suite 323,,Sydney,NSW,70952,AU,19,True,-33.8688,151.2093,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
46,46,PRIMARY,6598 Industrial Blvd,Suite 832,,Amsterdam,NH,35995,NL,13,True,52.3676,4.9041,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
47,47,PRIMARY,6171 Industrial Blvd,Suite 170,,Shenzhen,GD,76317,CN,15,True,22.5431,114.0579,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
48,48,PRIMARY,2985 Industrial Blvd,Suite 851,,Frankfurt,HE,78386,DE,8,True,50.1109,8.6821,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
49,49,PRIMARY,4669 Industrial Blvd,Suite 561,,Milan,LO,41963,IT,11,True,45.4642,9.19,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
50,50,PRIMARY,4332 Industrial Blvd,Suite 448,,Lyon,ARA,46655,FR,10,True,45.764,4.8357,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
51,51,PRIMARY,8141 Industrial Blvd,Suite 558,,Milan,LO,12260,IT,11,True,45.4642,9.19,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
52,52,PRIMARY,7071 Industrial Blvd,Suite 863,,Taipei,TPE,82140,TW,21,True,25.033,121.5654,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
53,53,PRIMARY,8879 Industrial Blvd,Suite 880,,Zurich,ZH,34267,CH,14,True,47.3769,8.5417,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
54,54,PRIMARY,5052 Industrial Blvd,Suite 114,,Shanghai,SH,80010,CN,15,True,31.2304,121.4737,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
55,55,PRIMARY,9505 Industrial Blvd,Suite 391,,Sao Paulo,SP,71524,BR,7,True,-23.5505,-46.6333,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
56,56,PRIMARY,1313 Industrial Blvd,Suite 690,,Osaka,OS,92502,JP,16,True,34.6937,135.5023,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
57,57,PRIMARY,7481 Industrial Blvd,Suite 553,,Milan,LO,48974,IT,11,True,45.4642,9.19,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
58,58,PRIMARY,2947 Industrial Blvd,Suite 665,,London,ENG,19838,GB,9,True,51.5074,-0.1278,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
59,59,PRIMARY,1266 Industrial Blvd,Suite 803,,Amsterdam,NH,40595,NL,13,True,52.3676,4.9041,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
60,60,PRIMARY,1269 Industrial Blvd,Suite 161,,Barcelona,CT,31747,ES,12,True,41.3851,2.1734,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
61,61,PRIMARY,7272 Industrial Blvd,Suite 182,,Barcelona,CT,88385,ES,12,True,41.3851,2.1734,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
62,62,PRIMARY,2970 Industrial Blvd,Suite 581,,Barcelona,CT,78021,ES,12,True,41.3851,2.1734,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
63,63,PRIMARY,5360 Industrial Blvd,Suite 786,,Seoul,SO,23710,KR,17,True,37.5665,126.978,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
64,64,PRIMARY,5253 Industrial Blvd,Suite 358,,Mumbai,MH,52372,IN,18,True,19.076,72.8777,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
65,65,PRIMARY,945 Industrial Blvd,Suite 308,,Sydney,NSW,45003,AU,19,True,-33.8688,151.2093,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
66,66,PRIMARY,9148 Industrial Blvd,Suite 517,,Amsterdam,NH,22217,NL,13,True,52.3676,4.9041,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
67,67,PRIMARY,7836 Industrial Blvd,Suite 349,,Seoul,SO,69871,KR,17,True,37.5665,126.978,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
68,68,PRIMARY,4734 Industrial Blvd,Suite 843,,Barcelona,CT,49132,ES,12,True,41.3851,2.1734,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
69,69,PRIMARY,3190 Industrial Blvd,Suite 814,,Bangalore,KA,41300,IN,18,True,12.9716,77.5946,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
70,70,PRIMARY,8215 Industrial Blvd,Suite 137,,Tokyo,TK,26547,JP,16,True,35.6762,139.6503,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
71,71,PRIMARY,4442 Industrial Blvd,Suite 446,,Monterrey,NL,91691,MX,6,True,25.6866,-100.3161,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
72,72,PRIMARY,1221 Industrial Blvd,Suite 340,,Taipei,TPE,92727,TW,21,True,25.033,121.5654,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
73,73,PRIMARY,853 Industrial Blvd,Suite 432,,Amsterdam,NH,17355,NL,13,True,52.3676,4.9041,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
74,74,PRIMARY,1393 Industrial Blvd,Suite 724,,London,ENG,60140,GB,9,True,51.5074,-0.1278,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
75,75,PRIMARY,4812 Industrial Blvd,Suite 793,,Houston,TX,81643,US,4,True,29.7604,-95.3698,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
76,76,PRIMARY,3363 Industrial Blvd,Suite 493,,Bangalore,KA,73335,IN,18,True,12.9716,77.5946,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
77,77,PRIMARY,9372 Industrial Blvd,Suite 985,,Barcelona,CT,99889,ES,12,True,41.3851,2.1734,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
78,78,PRIMARY,1691 Industrial Blvd,Suite 742,,Barcelona,CT,94717,ES,12,True,41.3851,2.1734,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
